"","score","text"
"1",2,"Did you know there is a connection between the #Christmas classic It's a Wonderful Life and #SenecaFalls #NewYork? https://t.co/COmKB6SLqJ"
"2",2,"You can follow my updates on Facebook as well. Some nice photos
https://t.co/DbKGTSHdO9
#Santorini #Vegas #paris https://t.co/VAVNNGK9tX"
"3",0,"NY.                 #nyc #stpatricks #newyork #cousins @ St. Patrick's Cathedral https://t.co/LkaPDtqxVK"
"4",-1,"Expect Rangers to have bumpy ride on the road to playoffs https://t.co/5TEwfZWwch #NewsDay #NewYork #Sports #NewYorkCity #NYC #News"
"5",1,"Samantha Prahalis now making Lauren Hansen and Ward Melville better https://t.co/wYIPeYjqDM #NewsDay #NewYork https://t.co/hCYwDWRFyj"
"6",2,"Toronto FC wins first MLS cup title, defeats Seattle Sounders 2-0 https://t.co/Qpfsy422nN #NewsDay #NewYork #Sports #NewYorkCity #NYC #News"
"7",1,"#NewYork Jets: 3 Reasons theyll defeat Broncos in Week 14 https://t.co/VUVRIpMn5y https://t.co/KIhnwkB5Pd"
"8",-2,"With #Alabama Senate Race Defined by Scandal, Policy Issues are Overlooked https://t.co/HjVEQvoHlj Via @NYTimesCC #NewYork #NYC #Life"
"9",0,"Lady Liberty-New York City Floor Pillow by broadmeadow https://t.co/pUSoWGNHMG #homedecor #statueofliberty https://t.co/syiMFhQ4ec"
"10",1,"When your #faith means this much. @danleytattoos @tattoowonderland #youbelongattattoowonderland #tattoowonderland https://t.co/FuACe1kzGs"
"11",0,"Weather Warfare - https://t.co/v0EGuhP60k via @YouTube - #Weather #weatherwarfare #snow #cern #nato #nasa #agenda21 https://t.co/f3xxZxS9cm"
"12",-2,"""Lundqvist will need defensive help to prevent back to back losses tonight vs the New Jersey Devils *Pregame Analys https://t.co/pxuduMAsoH"
"13",1,"Genuine New York fire truck  #newyork @ New York, New York https://t.co/jC7K3iP4mW"
"14",-1,"Today in #NewYork I realized sometimes its necessary to push people and call them a bitch. "
"15",1,"Despite the #snowday, thank you #NewYork women for showing up at #MeToo rally.

Shamefully though, there's still TH https://t.co/tEgYX7I13m"
"16",0,"Can you say #crookadile #mets #queens #qgtm #newyork #hometeam #baseball #crockball #colors https://t.co/Qn8aOi1VGg"
"17",0,"Among the Paulers: Scenes from Day One of Jake Paul's #NewYork City Pop-Up - New York Magazine https://t.co/p42DsViDHw"
"18",0,"
.
.
.
#newyork #centralpark #snowstorm #newyorkcity #nyc #newyorker @ Bethesda Terrace https://t.co/hLbfDsDhSI"
"19",0,"Physical Education And Health Teacher #NewYork #jobs Apply Now at https://t.co/e70mCPSu6k #NYC #LA #CA #TX #USA"
"20",0,"#Alabama, Despite History of Unruly Politics, Has Never Seen Anything Like This https://t.co/xo7sszjWAS Via https://t.co/4YXNkS1cUL"
"21",0,"#2017bestnine on instagram!  #jamiedornan #instagram #newyork #dunhilllinks @E_L_James #birthday https://t.co/L4FcrgIIMA"
"22",0,"Tis the Season  #newyork #nyc #newyorkcity #thebigapple #christmas #christmasy https://t.co/NPAHQq3YcA"
"23",0,"Its snowing in New York  #newyork #travel #world #timessquare #mysticbutterfly @ Times https://t.co/Sm7kjkCpcf"
"24",0,"Still snowing in Brooklyn! #snow #Brooklyn #NewYork https://t.co/BC1UzmCgOx"
"25",0,"The customary first snow pictures of the year!!!!! #wintersbelike #WinterIsHere #shotonop3 #firstsnow2017 #newyork https://t.co/EkmjBJSYHX"
"26",1,"Billionaires and Savvy investors are Betting BIG on  cannabis stocks https://t.co/5e6UNveZyU  #wsj #nytimes https://t.co/0nSxvqF7md"
"27",2,"15 Spellbinding Restaurants for Good Eating in Lockport, New York https://t.co/q8VUn1i5Xt @I_LOVE_NY #ILOVENY #newyork"
"28",2,"Mourners join vigil at Golden Krust eatery to honor its founder
#news #newyork #bronx"
"29",-1,"Snow storm in NY!! 
#washingtonsquarepark #newyork #newyorkcity #holiday #cold #snow https://t.co/rXW8eCqplv"
"30",0,"https://t.co/P57p1zKFRn: New York Street Life T-Shirt: Clothing https://t.co/copSjkdu1Y #NewYorkCity #newyork https://t.co/axpGaF1ftv"
"31",0,"Curious.  #firstsnow #NewYork https://t.co/XiAN8TB3O3"
"32",0,"#customscript for Andy by @sandydex_tattoos @tattoowonderland #youbelongattattoowonderland #tattoowonderland https://t.co/tETsE6ErMo"
"33",0,"Frankie Grandes in the house!
.
.
.
#frankiegrande #nyc #broadway #newyork #newyorkcity https://t.co/g6rpgr8gvt"
"34",0,"'You know that's Lamar Jackson?' Behind the scenes in the big city with the Louisville superstar https://t.co/8sTkFjcBoe"
"35",0,"Wall Street Station

 #mta #subway #nyc #newyork #nycsubway @ Financial District, Manhattan https://t.co/oxR38TrHXh"
"36",0,"https://t.co/P57p1zKFRn: Mount Marcy-Hiking Long Sleeve T-Shirt: Clothing https://t.co/BWIY8QHykv #hiking #newyork https://t.co/U0nBKMtei3"
"37",1,"If you're looking for work in #NewYork, NY, check out this #job: https://t.co/jty92VLss5 #Sales #Hiring"
"38",1,"You have to be different in order to stand out - All New Arteon R-Line available now @volkswagenfife 
#volkswagen https://t.co/IDiQZqRWGm"
"39",2,"Warm up on this snowy day with a hot @ketelone tea pot! (Featured Ketel Pot: The Flannel Blanket- Chai Tea Inf https://t.co/QFzA1Zt14j"
"40",1,".@YariGeeNY on #Periscope: Hi  #snow #newyork #love #cold #talk #walk Boat lovely Yari scopes. https://t.co/7QBNr4EuUV"
"41",1," @dillondanis in Brooklyn tonight to support @munchanation on his quest for   KASAI World Lightweight Championship https://t.co/dUp3zEvH78"
"42",0,"Williamsburg bridge and #NewYork skyline https://t.co/jQlXDdKtwP"
"43",1,"@osrossbt Hola! I love you #NewYork #clubdenutricionherbalife #herbalifepresident'steam #herbalife24 https://t.co/0Wbv7E157d"
"44",0,"SCN Corporate Connect Episode 5: Secondary Markets &amp; Liquidity for ICOs
https://t.co/Zd7pFur6mF #wsj #nytimes https://t.co/XFeIQje4Tf"
"45",0,"SCN Corporate Connect Episode 5: Secondary Markets &amp; Liquidity for ICOs
https://t.co/KBfq6QQhML #wsj #nytimes https://t.co/DjChb29Fch"
"46",0,"SCN Corporate Connect Episode 5: Secondary Markets &amp; Liquidity for ICOs
https://t.co/TNAGfSg8i8 #wsj #nytimes https://t.co/NYeAQbmToI"
"47",0,"SCN Corporate Connect Episode 5: Secondary Markets &amp; Liquidity for ICOs
https://t.co/mwVVaL1bVE #wsj #nytimes https://t.co/rE5fUc4csX"
"48",0,"SCN Corporate Connect Episode 5: Secondary Markets &amp; Liquidity for ICOs
https://t.co/QpCAuRdtSW #wsj #nytimes https://t.co/NNlM4BshAw"
"49",0,"SCN Corporate Connect Episode 5: Secondary Markets &amp; Liquidity for ICOs
https://t.co/ZQe3QsGM2B #wsj #nytimes https://t.co/MDNsNZ3Dbe"
"50",0,"SCN Corporate Connect Episode 5: Secondary Markets &amp; Liquidity for ICOs
https://t.co/aPTdUAgI60 #wsj #nytimes https://t.co/8zElHKfMdP"
"51",0,"Steve Spagnuolo making a list and checking it at least twice https://t.co/SVgX46XQPY #NewsDay #NewYork #Sports #NewYorkCity #NYC #News"
"52",0,"Attorney - #NewYork , NY (https://t.co/W1ridvBOvM) Get Lawyer Jobs"
"53",1,"We've created a luxury rehab facility for both drug rehab and alcohol rehab in Malibu, https://t.co/p2IufVfHkl
#wsj https://t.co/pogYHLzYLY"
"54",1,"We've created a luxury rehab facility for both drug rehab and alcohol rehab in Malibu, https://t.co/4CDAlZCe8c
#wsj https://t.co/2jfsmosSMd"
"55",1,"We've created a luxury rehab facility for both drug rehab and alcohol rehab in Malibu, https://t.co/dkFidGX8wb
#wsj https://t.co/aufAQFTsTV"
"56",1,"We've created a luxury rehab facility for both drug rehab and alcohol rehab in Malibu, https://t.co/7xDsXHQBCc
#wsj https://t.co/nTvCpTXeN3"
"57",1,"We've created a luxury rehab facility for both drug rehab and alcohol rehab in Malibu, https://t.co/7GQL3n8VbW
#wsj https://t.co/F1CIpYy6cu"
"58",1,"We've created a luxury rehab facility for both drug rehab and alcohol rehab in Malibu, https://t.co/Z8CoRLty0e
#wsj https://t.co/GifZ4NOF6W"
"59",1,"We've created a luxury rehab facility for both drug rehab and alcohol rehab in Malibu, https://t.co/gaFgPI7Ov4
#wsj https://t.co/T6IRUJ00Hk"
"60",1,"We've created a luxury rehab facility for both drug rehab and alcohol rehab in Malibu, https://t.co/THBVfJPZSz
#wsj https://t.co/tBUc6JKxAZ"
"61",1,"We've created a luxury rehab facility for both drug rehab and alcohol rehab in Malibu, https://t.co/nQWwco6PLV
#wsj https://t.co/gQQJbLU57S"
"62",1,"We've created a luxury rehab facility for both drug rehab and alcohol rehab in Malibu, https://t.co/a9d94qJZI8
#wsj https://t.co/zjVQgJ8ShP"
